Designator,Mid X,Mid Y,Rotation,Layer
D1,160.425,-146.925,270.0,top
D10,214.425,-140.925,270.0,top
D11,214.425,-123.925,270.0,top
D12,214.425,-106.925,270.0,top
D13,232.425,-140.925,270.0,top
D14,232.425,-123.925,270.0,top
D15,232.425,-106.925,270.0,top
D16,232.425,-161.925,270.0,top
D17,255.649253,-167.355786,235.0,top
D2,160.425,-129.925,270.0,top
D3,160.425,-112.925,270.0,top
D4,178.425,-140.925,270.0,top
D5,178.425,-123.925,270.0,top
D6,178.425,-106.925,270.0,top
D7,196.425,-140.925,270.0,top
D8,196.425,-123.925,270.0,top
D9,196.425,-106.925,270.0,top
H1,169.425,-103.925,0.0,top
H2,176.425,-154.925,0.0,top
H3,248.925,-158.425,0.0,top
H4,226.425,-117.925,0.0,top
S1,163.425,-152.29275,180.0,top
S10,217.425,-146.29275,180.0,top
S11,217.425,-129.29275,180.0,top
S12,217.425,-112.29275,180.0,top
S13,235.425,-146.29275,180.0,top
S14,235.425,-129.29275,180.0,top
S15,235.425,-112.29275,180.0,top
S16,235.425,-167.29275,180.0,top
S17,255.02789417465428,-173.47351927500975,145.0,top
S2,163.425,-135.29275,180.0,top
S3,163.425,-118.29275,180.0,top
S4,181.425,-146.29275,180.0,top
S5,181.425,-129.29275,180.0,top
S6,181.425,-112.29275,180.0,top
S7,199.425,-146.29275,180.0,top
S8,199.425,-129.29275,180.0,top
S9,199.425,-112.29275,180.0,top
TRRS1,261.8,-150.775,270.0,top
